v_call_heavy,v_call_light
IGHV2,IGLV1
IGHV4,IGLV1
IGHV4,IGLV2
IGHV3,IGLV3
IGHV4,IGKV3
IGHV7,IGLV1
IGHV4,IGKV3
IGHV3,IGKV1
IGHV3,IGKV1
IGHV3,IGKV3
IGHV4,IGLV2
IGHV7,IGLV3
IGHV4,IGKV3
IGHV3,IGKV2
IGHV7,IGKV1
IGHV3,IGKV1
IGHV3,IGKV3
IGHV3,IGKV1D
IGHV1,IGKV1
IGHV1,IGKV1
IGHV4,IGKV1
IGHV1,IGKV3
IGHV5,IGLV3
IGHV7,IGKV1
IGHV3,IGKV1
IGHV3,IGLV4
IGHV3,IGKV1
IGHV3,IGLV3
IGHV1,IGLV3
IGHV4,IGKV3
IGHV4,IGKV3
IGHV1,IGKV1
IGHV3,IGKV1
IGHV3,IGKV1
IGHV3,IGKV3
IGHV4,IGKV1
IGHV3,IGKV4
IGHV2,IGKV3
IGHV3,IGKV2
IGHV1,IGLV1
IGHV2,IGKV1
IGHV3,IGKV1
IGHV4,IGLV1
IGHV4,IGKV1
IGHV1,IGLV3
IGHV4,IGKV3
IGHV1,IGKV2
IGHV1,IGKV3
IGHV5,IGKV1
IGHV4,IGLV1
IGHV4,IGKV4
IGHV3,IGKV1
IGHV3,IGKV1D
IGHV1,IGKV4
IGHV3,IGLV2
IGHV2,IGKV1D
IGHV3,IGLV3
IGHV3,IGLV1
IGHV3,IGLV2
IGHV3,IGKV1
IGHV3,IGLV6
IGHV3,IGLV2
IGHV7,IGLV2
IGHV4,IGLV2
IGHV3,IGKV1
IGHV4,IGLV3
IGHV4,IGLV3
IGHV3,IGLV2
IGHV3,IGKV1
IGHV3,IGKV1
IGHV3,IGLV1
IGHV4,IGKV1
IGHV4,IGKV1
IGHV1,IGKV4
IGHV1,IGLV2
IGHV5,IGLV3
IGHV3,IGLV2
IGHV1,IGLV2
IGHV4,IGLV1
IGHV6,IGKV4
IGHV1,IGKV3
IGHV2,IGLV7
IGHV2,IGLV1
IGHV1,IGLV1
IGHV1,IGKV3
IGHV1,IGKV4
IGHV1,IGLV1
IGHV4,IGKV1
IGHV4,IGLV3
IGHV3,IGLV3
IGHV4,IGKV1
IGHV1,IGKV4
IGHV3,IGKV4
IGHV2,IGLV1
IGHV3,IGKV2
IGHV3,IGKV3
IGHV3,IGLV3
IGHV3,IGKV3
IGHV1,IGKV1D
IGHV1,IGKV4
IGHV5,IGKV1
IGHV3,IGLV2
IGHV6,IGLV1
IGHV1,IGKV1
IGHV4,IGKV1
IGHV4,IGKV3
IGHV3,IGLV1
IGHV3,IGKV3
IGHV3,IGKV3
IGHV2,IGLV3
IGHV1,IGLV6
IGHV5,IGKV1
IGHV3,IGLV2
IGHV3,IGLV3
IGHV2,IGLV3
IGHV4,IGLV6
IGHV3,IGLV1
IGHV1,IGKV1
IGHV3,IGKV1D
IGHV3,IGKV1
IGHV3,IGLV3
IGHV4,IGKV3
IGHV4,IGKV3
IGHV4,IGKV3
IGHV1,IGLV1
IGHV4,IGKV1
IGHV3,IGLV3
IGHV4,IGLV2
IGHV4,IGKV3
IGHV4,IGKV1
IGHV3,IGKV4
IGHV3,IGLV2
IGHV5,IGLV1
IGHV4,IGKV4
IGHV4,IGLV7
IGHV3,IGLV3
IGHV1,IGKV1
IGHV3,IGLV2
IGHV2,IGKV3
IGHV3,IGKV3
IGHV1,IGKV3
IGHV3,IGKV1
IGHV4,IGLV7
IGHV7,IGLV3
IGHV1,IGLV1
IGHV3,IGKV3
IGHV3,IGKV3
IGHV2,IGLV2
IGHV5,IGLV2
IGHV1,IGKV1
IGHV3,IGKV1
IGHV4,IGLV1
IGHV2,IGKV1D
IGHV4,IGKV3
IGHV4,IGKV3
IGHV1,IGLV7
IGHV1,IGKV3
IGHV3,IGKV1
IGHV4,IGKV1
IGHV3,IGLV2
IGHV4,IGLV2
IGHV3,IGKV2
IGHV3,IGKV1
IGHV3,IGKV3
IGHV3,IGKV1
IGHV4,IGKV1D
IGHV1,IGKV4
IGHV4,IGLV3
IGHV1,IGKV1
IGHV1,IGKV1
IGHV2,IGKV4
IGHV4,IGLV1
IGHV4,IGKV1D
IGHV3,IGKV2
IGHV1,IGLV1
IGHV4,IGLV3
IGHV4,IGKV4
IGHV1,IGKV1
IGHV4,IGLV2
IGHV3,IGKV3
IGHV4,IGLV1
IGHV4,IGKV1
IGHV1,IGLV2
IGHV3,IGKV1
IGHV2,IGLV3
IGHV4,IGKV3
IGHV3,IGKV3
IGHV4,IGKV3
IGHV4,IGKV3
IGHV3,IGLV5
IGHV3,IGKV1
