j_call_light,IGHV1,IGHV2,IGHV3,IGHV4,IGHV5,IGHV6,IGHV7
IGKV1,15335,3661,41135,24499,3159,399,1307
IGKV1D,506,214,1690,919,129,15,53
IGKV2,3652,640,9338,2893,904,112,217
IGKV2D,434,59,795,256,66,9,9
IGKV3,14834,2410,31764,20694,3535,316,1023
IGKV3D,173,29,429,277,49,6,12
IGKV4,5131,711,8801,6034,879,194,502
IGKV5,14,6,35,27,1,0,0
IGKV6,136,47,457,302,46,8,18
IGKV6D,37,10,106,69,20,1,5
IGLV1,6698,2163,13693,12607,1732,193,1317
IGLV10,59,5,303,54,6,1,5
IGLV2,7867,1715,17505,11527,2214,274,1035
IGLV3,7667,2666,18344,13519,1944,149,1306
IGLV4,430,72,1924,413,77,2,70
IGLV5,145,28,549,164,25,8,45
IGLV6,451,109,1529,572,161,9,73
IGLV7,704,133,1434,597,201,11,92
IGLV8,210,37,892,314,50,1,26
IGLV9,100,58,169,180,17,2,4
